Designator,Mid X,Mid Y,Layer,Rotation
C1,215.392,-164.592,top,90
C2,191.135,-162.56,top,270
C3,216.662,-130.175,top,0
D1,238.379,-132.08,top,210
D2,203.2,-113.284,top,270
D3,168.783,-132.588,top,330
D4,168.402,-172.466,top,30
D5,203.2,-189.992,top,90
D6,237.948101,-172.466,top,150
Q2,219.583,-151.257,top,90
R2,234.823,-134.112,top,30
R3,203.2,-116.967,top,90
R4,172.72,-134.874,top,150
R5,172.212,-170.18,top,210
R6,219.583,-154.305,top,0
R7,203.2,-184.404,top,270
R8,234.188,-170.434,top,330
R9,218.694,-147.828,top,0
